;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05.02.2018 13:36:25
;----------------------------------------------

;Address Opcode 	ASM
0x0A64	0xBFBF    	OUT        SREG_I_bit+0, R27
;MyProject.c,125 :: 		TOIE0_bit=1;
0x0A66	0xB7B9    	IN         R27, TOIE0_bit+0
0x0A68	0x60B1    	SBR        R27, 1
0x0A6A	0xBFB9    	OUT        TOIE0_bit+0, R27
;MyProject.c,126 :: 		TOIE1_bit=1;
0x0A6C	0xB7B9    	IN         R27, TOIE1_bit+0
0x0A6E	0x60B4    	SBR        R27, 4
0x0A70	0xBFB9    	OUT        TOIE1_bit+0, R27
;MyProject.c,127 :: 		TOIE2_bit=1;
0x0A72	0xB7B9    	IN         R27, TOIE2_bit+0
0x0A74	0x64B0    	SBR        R27, 64
0x0A76	0xBFB9    	OUT        TOIE2_bit+0, R27
;MyProject.c,128 :: 		INT0_bit=1;
0x0A78	0xB7BB    	IN         R27, INT0_bit+0
0x0A7A	0x64B0    	SBR        R27, 64
0x0A7C	0xBFBB    	OUT        INT0_bit+0, R27
;MyProject.c,129 :: 		ISC00_bit=0;
0x0A7E	0xB7B5    	IN         R27, ISC00_bit+0
0x0A80	0x7FBE    	CBR        R27, 1
0x0A82	0xBFB5    	OUT        ISC00_bit+0, R27
;MyProject.c,130 :: 		ISC01_bit=0;
0x0A84	0xB7B5    	IN         R27, ISC01_bit+0
0x0A86	0x7FBD    	CBR        R27, 2
0x0A88	0xBFB5    	OUT        ISC01_bit+0, R27
;MyProject.c,132 :: 		ADC_Init();
0x0A8A	0xDBDB    	RCALL      _ADC_Init+0
;MyProject.c,133 :: 		rpm=2;
0x0A8C	0xE0B2    	LDI        R27, 2
0x0A8E	0x006593B0  	STS        _rpm+0, R27
;MyProject.c,134 :: 		Delay_ms(2000);
0x0A92	0xE72A    	LDI        R18, 122
0x0A94	0xEC11    	LDI        R17, 193
0x0A96	0xE802    	LDI        R16, 130
L_main37:
0x0A98	0x950A    	DEC        R16
0x0A9A	0xF7F1    	BRNE       L_main37
0x0A9C	0x951A    	DEC        R17
0x0A9E	0xF7E1    	BRNE       L_main37
0x0AA0	0x952A    	DEC        R18
0x0AA2	0xF7D1    	BRNE       L_main37
0x0AA4	0x0000    	NOP
0x0AA6	0x0000    	NOP
;MyProject.c,136 :: 		while(1){
L_main39:
;MyProject.c,137 :: 		while (go_flag==0 && stby_flag==0){
L_main41:
0x0AA8	0x00669100  	LDS        R16, _go_flag+0
0x0AAC	0x3000    	CPI        R16, 0
0x0AAE	0xF009    	BREQ       L__main132
0x0AB0	0xC11A    	RJMP       L__main100
L__main132:
0x0AB2	0x00679100  	LDS        R16, _stby_flag+0
0x0AB6	0x3000    	CPI        R16, 0
0x0AB8	0xF009    	BREQ       L__main133
0x0ABA	0xC115    	RJMP       L__main99
L__main133:
L__main94:
;MyProject.c,138 :: 		dig1=14;
0x0ABC	0xE0BE    	LDI        R27, 14
0x0ABE	0x008793B0  	STS        _dig1+0, R27
;MyProject.c,139 :: 		dig2=14;
0x0AC2	0xE0BE    	LDI        R27, 14
0x0AC4	0x008693B0  	STS        _dig2+0, R27
;MyProject.c,140 :: 		dig3=14;
0x0AC8	0xE0BE    	LDI        R27, 14
0x0ACA	0x006A93B0  	STS        _dig3+0, R27
;MyProject.c,141 :: 		dig4=14;
0x0ACE	0xE0BE    	LDI        R27, 14
0x0AD0	0x006993B0  	STS        _dig4+0, R27
;MyProject.c,142 :: 		HEAT=0;
0x0AD4	0xB3B2    	IN         R27, PORTD+0
0x0AD6	0x7BBF    	CBR        R27, 64
0x0AD8	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,143 :: 		button_chk();
0x0ADA	0xDD71    	RCALL      _button_chk+0
;MyProject.c,144 :: 		if (spddown_but_flag||spdup_but_flag)
0x0ADC	0x006D9100  	LDS        R16, _spddown_but_flag+0
0x0AE0	0x2300    	TST        R16
0x0AE2	0xF429    	BRNE       L__main96
L__main134:
0x0AE4	0x006E9100  	LDS        R16, _spdup_but_flag+0
0x0AE8	0x2300    	TST        R16
0x0AEA	0xF409    	BRNE       L__main95
L__main135:
0x0AEC	0xC055    	RJMP       L_main47
L__main96:
L__main95:
;MyProject.c,145 :: 		{  temp_menu=0; dig4=13;
0x0AEE	0xE0B0    	LDI        R27, 0
0x0AF0	0x009393B0  	STS        _temp_menu+0, R27
0x0AF4	0xE0BD    	LDI        R27, 13
0x0AF6	0x006993B0  	STS        _dig4+0, R27
;MyProject.c,146 :: 		while(temp_menu<20)
L_main48:
0x0AFA	0x00939100  	LDS        R16, _temp_menu+0
0x0AFE	0x3104    	CPI        R16, 20
0x0B00	0xF008    	BRLO       L__main136
0x0B02	0xC04A    	RJMP       L_main49
L__main136:
;MyProject.c,148 :: 		if (spddown_but_flag){
0x0B04	0x006D9100  	LDS        R16, _spddown_but_flag+0
0x0B08	0x2300    	TST        R16
0x0B0A	0xF081    	BREQ       L_main50
L__main137:
;MyProject.c,149 :: 		rpm--;
0x0B0C	0x00659100  	LDS        R16, _rpm+0
0x0B10	0x5001    	SUBI       R16, 1
0x0B12	0x00659300  	STS        _rpm+0, R16
;MyProject.c,150 :: 		if(rpm<1) rpm=1;
0x0B16	0x3001    	CPI        R16, 1
0x0B18	0xF418    	BRSH       L_main51
L__main138:
0x0B1A	0xE0B1    	LDI        R27, 1
0x0B1C	0x006593B0  	STS        _rpm+0, R27
L_main51:
;MyProject.c,151 :: 		spddown_but_flag=0;
0x0B20	0xE0B0    	LDI        R27, 0
0x0B22	0x006D93B0  	STS        _spddown_but_flag+0, R27
;MyProject.c,152 :: 		temp_menu=0;
0x0B26	0xE0B0    	LDI        R27, 0
0x0B28	0x009393B0  	STS        _temp_menu+0, R27
;MyProject.c,153 :: 		}
L_main50:
;MyProject.c,154 :: 		if (spdup_but_flag){
0x0B2C	0x006E9100  	LDS        R16, _spdup_but_flag+0
0x0B30	0x2300    	TST        R16
0x0B32	0xF091    	BREQ       L_main52
L__main139:
;MyProject.c,155 :: 		rpm++;
0x0B34	0x00659100  	LDS        R16, _rpm+0
0x0B38	0x2F10    	MOV        R17, R16
0x0B3A	0x5F1F    	SUBI       R17, 255
0x0B3C	0x00659310  	STS        _rpm+0, R17
;MyProject.c,156 :: 		if(rpm>100) rpm=100;
0x0B40	0xE604    	LDI        R16, 100
0x0B42	0x1701    	CP         R16, R17
0x0B44	0xF418    	BRSH       L_main53
L__main140:
0x0B46	0xE6B4    	LDI        R27, 100
0x0B48	0x006593B0  	STS        _rpm+0, R27
L_main53:
;MyProject.c,157 :: 		spdup_but_flag=0;
0x0B4C	0xE0B0    	LDI        R27, 0
0x0B4E	0x006E93B0  	STS        _spdup_but_flag+0, R27
;MyProject.c,158 :: 		temp_menu=0;
0x0B52	0xE0B0    	LDI        R27, 0
0x0B54	0x009393B0  	STS        _temp_menu+0, R27
;MyProject.c,159 :: 		}
L_main52:
;MyProject.c,160 :: 		motor_speed=255-(200/rpm);
0x0B58	0xEC08    	LDI        R16, 200
0x0B5A	0x00659140  	LDS        R20, _rpm+0
0x0B5E	0xDCA6    	RCALL      _Div_8x8_U+0
0x0B60	0x2E00    	MOV        R0, R16
0x0B62	0xEF0F    	LDI        R16, 255
0x0B64	0x1900    	SUB        R16, R0
0x0B66	0x00689300  	STS        _motor_speed+0, R16
;MyProject.c,161 :: 		temp_menu++;
0x0B6A	0x00939100  	LDS        R16, _temp_menu+0
0x0B6E	0x5F0F    	SUBI       R16, 255
0x0B70	0x00939300  	STS        _temp_menu+0, R16
;MyProject.c,162 :: 		dectosev(rpm);
0x0B74	0x00659020  	LDS        R2, _rpm+0
0x0B78	0xE0B0    	LDI        R27, 0
0x0B7A	0x2E3B    	MOV        R3, R27
0x0B7C	0xDCD9    	RCALL      _dectosev+0
;MyProject.c,163 :: 		delay_ms(80);
0x0B7E	0xE025    	LDI        R18, 5
0x0B80	0xED1F    	LDI        R17, 223
0x0B82	0xEB0C    	LDI        R16, 188
L_main54:
0x0B84	0x950A    	DEC        R16
0x0B86	0xF7F1    	BRNE       L_main54
0x0B88	0x951A    	DEC        R17
0x0B8A	0xF7E1    	BRNE       L_main54
0x0B8C	0x952A    	DEC        R18
0x0B8E	0xF7D1    	BRNE       L_main54
0x0B90	0x0000    	NOP
0x0B92	0x0000    	NOP
;MyProject.c,164 :: 		button_chk();
0x0B94	0xDD14    	RCALL      _button_chk+0
;MyProject.c,165 :: 		}
0x0B96	0xCFB1    	RJMP       L_main48
L_main49:
;MyProject.c,166 :: 		}
L_main47:
;MyProject.c,167 :: 		if (tup_but_flag||tdown_but_flag)
0x0B98	0x006C9100  	LDS        R16, _tup_but_flag+0
0x0B9C	0x2300    	TST        R16
0x0B9E	0xF429    	BRNE       L__main98
L__main141:
0x0BA0	0x006B9100  	LDS        R16, _tdown_but_flag+0
0x0BA4	0x2300    	TST        R16
0x0BA6	0xF409    	BRNE       L__main97
L__main142:
0x0BA8	0xC093    	RJMP       L_main58
L__main98:
L__main97:
;MyProject.c,168 :: 		{  temp_menu=0; dig4=12;
0x0BAA	0xE0B0    	LDI        R27, 0
0x0BAC	0x009393B0  	STS        _temp_menu+0, R27
0x0BB0	0xE0BC    	LDI        R27, 12
0x0BB2	0x006993B0  	STS        _dig4+0, R27
;MyProject.c,169 :: 		while(temp_menu<20)
L_main59:
0x0BB6	0x00939100  	LDS        R16, _temp_menu+0
0x0BBA	0x3104    	CPI        R16, 20
0x0BBC	0xF008    	BRLO       L__main143
0x0BBE	0xC088    	RJMP       L_main60
L__main143:
;MyProject.c,171 :: 		if (tdown_but_flag){
0x0BC0	0x006B9100  	LDS        R16, _tdown_but_flag+0
0x0BC4	0x2300    	TST        R16
0x0BC6	0xF191    	BREQ       L_main61
L__main144:
;MyProject.c,172 :: 		temp_set=temp_set-1;
0x0BC8	0xE040    	LDI        R20, 0
0x0BCA	0xE050    	LDI        R21, 0
0x0BCC	0xE860    	LDI        R22, 128
0x0BCE	0xE37F    	LDI        R23, 63
0x0BD0	0x00609100  	LDS        R16, _temp_set+0
0x0BD4	0x00619110  	LDS        R17, _temp_set+1
0x0BD8	0x00629120  	LDS        R18, _temp_set+2
0x0BDC	0x00639130  	LDS        R19, _temp_set+3
0x0BE0	0xDCDD    	RCALL      _float_fpsub1+0
0x0BE2	0x00609300  	STS        _temp_set+0, R16
0x0BE6	0x00619310  	STS        _temp_set+1, R17
0x0BEA	0x00629320  	STS        _temp_set+2, R18
0x0BEE	0x00639330  	STS        _temp_set+3, R19
;MyProject.c,173 :: 		if(temp_set<100) temp_set=100;
0x0BF2	0xE040    	LDI        R20, 0
0x0BF4	0xE050    	LDI        R21, 0
0x0BF6	0xEC68    	LDI        R22, 200
0x0BF8	0xE472    	LDI        R23, 66
0x0BFA	0xDCDA    	RCALL      _float_op_less+0
0x0BFC	0x2800    	OR         R0, R0
0x0BFE	0xE0B0    	LDI        R27, 0
0x0C00	0xF009    	BREQ       L__main145
0x0C02	0xE0B1    	LDI        R27, 1
L__main145:
0x0C04	0x2F0B    	MOV        R16, R27
0x0C06	0x2300    	TST        R16
0x0C08	0xF059    	BREQ       L_main62
L__main146:
0x0C0A	0xE0B0    	LDI        R27, 0
0x0C0C	0x006093B0  	STS        _temp_set+0, R27
0x0C10	0x006193B0  	STS        _temp_set+1, R27
0x0C14	0xECB8    	LDI        R27, 200
0x0C16	0x006293B0  	STS        _temp_set+2, R27
0x0C1A	0xE4B2    	LDI        R27, 66
0x0C1C	0x006393B0  	STS        _temp_set+3, R27
L_main62:
;MyProject.c,174 :: 		tdown_but_flag=0;
0x0C20	0xE0B0    	LDI        R27, 0
0x0C22	0x006B93B0  	STS        _tdown_but_flag+0, R27
;MyProject.c,175 :: 		temp_menu=0;
0x0C26	0xE0B0    	LDI        R27, 0
0x0C28	0x009393B0  	STS        _temp_menu+0, R27
;MyProject.c,176 :: 		}
L_main61:
;MyProject.c,177 :: 		if (tup_but_flag){
0x0C2C	0x006C9100  	LDS        R16, _tup_but_flag+0
0x0C30	0x2300    	TST        R16
0x0C32	0xF191    	BREQ       L_main63
L__main147:
;MyProject.c,178 :: 		temp_set=temp_set+1;
0x0C34	0x00609100  	LDS        R16, _temp_set+0
0x0C38	0x00619110  	LDS        R17, _temp_set+1
0x0C3C	0x00629120  	LDS        R18, _temp_set+2
0x0C40	0x00639130  	LDS        R19, _temp_set+3
0x0C44	0xE040    	LDI        R20, 0
0x0C46	0xE050    	LDI        R21, 0
0x0C48	0xE860    	LDI        R22, 128
0x0C4A	0xE37F    	LDI        R23, 63
0x0C4C	0xDD26    	RCALL      _float_fpadd1+0
0x0C4E	0x00609300  	STS        _temp_set+0, R16
0x0C52	0x00619310  	STS        _temp_set+1, R17
0x0C56	0x00629320  	STS        _temp_set+2, R18
0x0C5A	0x00639330  	STS        _temp_set+3, R19
;MyProject.c,179 :: 		if(temp_set>200) temp_set=200;
0x0C5E	0xE040    	LDI        R20, 0
0x0C60	0xE050    	LDI        R21, 0
0x0C62	0xE468    	LDI        R22, 72
0x0C64	0xE473    	LDI        R23, 67
0x0C66	0xDBDC    	RCALL      _float_op_big+0
0x0C68	0x2800    	OR         R0, R0
0x0C6A	0xE0B0    	LDI        R27, 0
0x0C6C	0xF009    	BREQ       L__main148
0x0C6E	0xE0B1    	LDI        R27, 1
L__main148:
0x0C70	0x2F0B    	MOV        R16, R27
0x0C72	0x2300    	TST        R16
0x0C74	0xF059    	BREQ       L_main64
L__main149:
0x0C76	0xE0B0    	LDI        R27, 0
0x0C78	0x006093B0  	STS        _temp_set+0, R27
0x0C7C	0x006193B0  	STS        _temp_set+1, R27
0x0C80	0xE4B8    	LDI        R27, 72
0x0C82	0x006293B0  	STS        _temp_set+2, R27
0x0C86	0xE4B3    	LDI        R27, 67
0x0C88	0x006393B0  	STS        _temp_set+3, R27
L_main64:
;MyProject.c,180 :: 		tup_but_flag=0;
0x0C8C	0xE0B0    	LDI        R27, 0
0x0C8E	0x006C93B0  	STS        _tup_but_flag+0, R27
;MyProject.c,181 :: 		temp_menu=0;
0x0C92	0xE0B0    	LDI        R27, 0
0x0C94	0x009393B0  	STS        _temp_menu+0, R27
;MyProject.c,182 :: 		}
L_main63:
;MyProject.c,183 :: 		temp_menu++;
0x0C98	0x00939100  	LDS        R16, _temp_menu+0
0x0C9C	0x5F0F    	SUBI       R16, 255
0x0C9E	0x00939300  	STS        _temp_menu+0, R16
;MyProject.c,184 :: 		dectosev(temp_set);
0x0CA2	0x00609100  	LDS        R16, _temp_set+0
0x0CA6	0x00619110  	LDS        R17, _temp_set+1
0x0CAA	0x00629120  	LDS        R18, _temp_set+2
0x0CAE	0x00639130  	LDS        R19, _temp_set+3
0x0CB2	0xDC08    	RCALL      _float_fpint+0
0x0CB4	0x0118    	MOVW       R2, R16
0x0CB6	0xDC3C    	RCALL      _dectosev+0
;MyProject.c,185 :: 		delay_ms(40);
0x0CB8	0xE023    	LDI        R18, 3
0x0CBA	0xE710    	LDI        R17, 112
0x0CBC	0xE50D    	LDI        R16, 93
L_main65:
0x0CBE	0x950A    	DEC        R16
0x0CC0	0xF7F1    	BRNE       L_main65
0x0CC2	0x951A    	DEC        R17
0x0CC4	0xF7E1    	BRNE       L_main65
0x0CC6	0x952A    	DEC        R18
0x0CC8	0xF7D1    	BRNE       L_main65
0x0CCA	0x0000    	NOP
;MyProject.c,186 :: 		button_chk();
0x0CCC	0xDC78    	RCALL      _button_chk+0
;MyProject.c,187 :: 		}
0x0CCE	0xCF73    	RJMP       L_main59
L_main60:
;MyProject.c,188 :: 		}
L_main58:
;MyProject.c,189 :: 		if(stb_but_flag){
0x0CD0	0x006F9100  	LDS        R16, _stb_but_flag+0
0x0CD4	0x2300    	TST        R16
0x0CD6	0xF031    	BREQ       L_main67
L__main150:
;MyProject.c,190 :: 		stb_but_flag=0;
0x0CD8	0xE0B0    	LDI        R27, 0
0x0CDA	0x006F93B0  	STS        _stb_but_flag+0, R27
;MyProject.c,191 :: 		stby_flag=1;
0x0CDE	0xE0B1    	LDI        R27, 1
0x0CE0	0x006793B0  	STS        _stby_flag+0, R27
;MyProject.c,192 :: 		}
L_main67:
;MyProject.c,194 :: 		}
0x0CE4	0xCEE1    	RJMP       L_main41
;MyProject.c,137 :: 		while (go_flag==0 && stby_flag==0){
L__main100:
L__main99:
;MyProject.c,196 :: 		while (go_flag==1)
L_main68:
0x0CE6	0x00669100  	LDS        R16, _go_flag+0
0x0CEA	0x3001    	CPI        R16, 1
0x0CEC	0xF009    	BREQ       L__main151
0x0CEE	0xC065    	RJMP       L_main69
L__main151:
;MyProject.c,198 :: 		dig4=12;
0x0CF0	0xE0BC    	LDI        R27, 12
0x0CF2	0x006993B0  	STS        _dig4+0, R27
;MyProject.c,199 :: 		temp_curr = temp3*0.186947+47.4777;
0x0CF6	0x00889100  	LDS        R16, _temp3+0
0x0CFA	0x00899110  	LDS        R17, _temp3+1
0x0CFE	0x008A9120  	LDS        R18, _temp3+2
0x0D02	0x008B9130  	LDS        R19, _temp3+3
0x0D06	0xE049    	LDI        R20, 9
0x0D08	0xE65F    	LDI        R21, 111
0x0D0A	0xE36F    	LDI        R22, 63
0x0D0C	0xE37E    	LDI        R23, 62
0x0D0E	0xDBFE    	RCALL      _float_fpmul1+0
0x0D10	0xE24A    	LDI        R20, 42
0x0D12	0xEE59    	LDI        R21, 233
0x0D14	0xE36D    	LDI        R22, 61
0x0D16	0xE472    	LDI        R23, 66
0x0D18	0xDCC0    	RCALL      _float_fpadd1+0
0x0D1A	0x8308    	STD        Y+0, R16
0x0D1C	0x8319    	STD        Y+1, R17
0x0D1E	0x832A    	STD        Y+2, R18
0x0D20	0x833B    	STD        Y+3, R19
0x0D22	0x008C9300  	STS        _temp_curr+0, R16
0x0D26	0x008D9310  	STS        _temp_curr+1, R17
0x0D2A	0x008E9320  	STS        _temp_curr+2, R18
0x0D2E	0x008F9330  	STS        _temp_curr+3, R19
;MyProject.c,200 :: 		if(temp_curr<(temp_set-HYST))
0x0D32	0xE040    	LDI        R20, 0
0x0D34	0xE050    	LDI        R21, 0
0x0D36	0xE860    	LDI        R22, 128
0x0D38	0xE37E    	LDI        R23, 62
0x0D3A	0x00609100  	LDS        R16, _temp_set+0
0x0D3E	0x00619110  	LDS        R17, _temp_set+1
0x0D42	0x00629120  	LDS        R18, _temp_set+2
0x0D46	0x00639130  	LDS        R19, _temp_set+3
0x0D4A	0xDC28    	RCALL      _float_fpsub1+0
0x0D4C	0x8148    	LDD        R20, Y+0
0x0D4E	0x8159    	LDD        R21, Y+1
0x0D50	0x816A    	LDD        R22, Y+2
0x0D52	0x817B    	LDD        R23, Y+3
0x0D54	0xDB65    	RCALL      _float_op_big+0
0x0D56	0x2800    	OR         R0, R0
0x0D58	0xE0B0    	LDI        R27, 0
0x0D5A	0xF009    	BREQ       L__main152
0x0D5C	0xE0B1    	LDI        R27, 1
L__main152:
0x0D5E	0x2F0B    	MOV        R16, R27
0x0D60	0x2300    	TST        R16
0x0D62	0xF031    	BREQ       L_main70
L__main153:
;MyProject.c,202 :: 		HEAT=1;
0x0D64	0xB3B2    	IN         R27, PORTD+0
0x0D66	0x64B0    	SBR        R27, 64
0x0D68	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,203 :: 		HEAT_LED=1;
0x0D6A	0xB3B5    	IN         R27, PORTC+0
0x0D6C	0x62B0    	SBR        R27, 32
0x0D6E	0xBBB5    	OUT        PORTC+0, R27
;MyProject.c,204 :: 		}
L_main70:
;MyProject.c,205 :: 		if(temp_curr>(temp_set+HYST))
0x0D70	0x00609100  	LDS        R16, _temp_set+0
0x0D74	0x00619110  	LDS        R17, _temp_set+1
0x0D78	0x00629120  	LDS        R18, _temp_set+2
0x0D7C	0x00639130  	LDS        R19, _temp_set+3
0x0D80	0xE040    	LDI        R20, 0
0x0D82	0xE050    	LDI        R21, 0
0x0D84	0xE860    	LDI        R22, 128
0x0D86	0xE37E    	LDI        R23, 62
0x0D88	0xDC88    	RCALL      _float_fpadd1+0
0x0D8A	0x01A8    	MOVW       R20, R16
0x0D8C	0x01B9    	MOVW       R22, R18
0x0D8E	0x008C9100  	LDS        R16, _temp_curr+0
0x0D92	0x008D9110  	LDS        R17, _temp_curr+1
0x0D96	0x008E9120  	LDS        R18, _temp_curr+2
0x0D9A	0x008F9130  	LDS        R19, _temp_curr+3
0x0D9E	0xDB40    	RCALL      _float_op_big+0
0x0DA0	0x2800    	OR         R0, R0
0x0DA2	0xE000    	LDI        R16, 0
0x0DA4	0xF009    	BREQ       L__main154
0x0DA6	0xE001    	LDI        R16, 1
L__main154:
0x0DA8	0x2300    	TST        R16
0x0DAA	0xF031    	BREQ       L_main71
L__main155:
;MyProject.c,207 :: 		HEAT=0;
0x0DAC	0xB3B2    	IN         R27, PORTD+0
0x0DAE	0x7BBF    	CBR        R27, 64
0x0DB0	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,208 :: 		HEAT_LED=0;
0x0DB2	0xB3B5    	IN         R27, PORTC+0
0x0DB4	0x7DBF    	CBR        R27, 32
0x0DB6	0xBBB5    	OUT        PORTC+0, R27
;MyProject.c,209 :: 		}
L_main71:
;MyProject.c,210 :: 		}
0x0DB8	0xCF96    	RJMP       L_main68
L_main69:
;MyProject.c,211 :: 		delay_ms(2000);
0x0DBA	0xE72A    	LDI        R18, 122
0x0DBC	0xEC11    	LDI        R17, 193
0x0DBE	0xE802    	LDI        R16, 130
L_main72:
0x0DC0	0x950A    	DEC        R16
0x0DC2	0xF7F1    	BRNE       L_main72
0x0DC4	0x951A    	DEC        R17
0x0DC6	0xF7E1    	BRNE       L_main72
0x0DC8	0x952A    	DEC        R18
0x0DCA	0xF7D1    	BRNE       L_main72
0x0DCC	0x0000    	NOP
0x0DCE	0x0000    	NOP
;MyProject.c,212 :: 		while(stby_flag==1){
L_main74:
0x0DD0	0x00679100  	LDS        R16, _stby_flag+0
0x0DD4	0x3001    	CPI        R16, 1
0x0DD6	0xF009    	BREQ       L__main156
0x0DD8	0xC03E    	RJMP       L_main75
